ORISPL,SUBRGN,SRNAME,PLPRMFL,PLFUELCT,NBFACTOR,RMBMFLAG,CHPFLAG,PLHTIAN,PLHTIOZ,PLHTIANT,PLHTIOZT,PLNGENAN,PLNGENOZ,PLHTRT
54719,MROW,MRO West,DFO,OIL,1,,,3348,1265,3348,1265,311.64,118.004,10743.16519
54710,MROW,MRO West,DFO,OIL,1,,,173,65,173,65,11,4,15727.27273
54718,MROW,MRO West,DFO,OIL,1,,,225,89,225,89,15,6,15000
54735,MROW,MRO West,DFO,OIL,1,,,36,12,36,12,3,1,12000
54967,MROW,MRO West,DFO,OIL,1,,,65,0,65,0,4,0,16250
54930,MROW,MRO West,DFO,OIL,,,,,,,,,,
54929,MROW,MRO West,DFO,OIL,1,,,167.001,64.999,167.001,64.999,10.999,3.999,15183.28939
54968,MROW,MRO West,DFO,OIL,1,,,3609.999,1371,3609.999,1371,240.999,90.999,14979.31112
55315,MROW,MRO West,DFO,OIL,,,,,,,,,,
56072,MROW,MRO West,DFO,OIL,,,,,,,,,,
56074,MROW,MRO West,DFO,OIL,1,,,36,12,36,12,2,1,18000
55996,MROW,MRO West,DFO,OIL,1,,,1251.999,475.999,1251.999,475.999,84.001,31.999,14904.57256
56073,MROW,MRO West,NG,GAS,1,,,82,45,82,45,9,5,9111.111111
1121,MROW,MRO West,DFO,OIL,,,,0,0,0,0,,,
1122,MROW,MRO West,SUB,COAL,0.838153455,Yes,,3801632.15,1547118.25,3801632.15,1547118.25,283170,115109,13425.26451
1052,MROW,MRO West,DFO,OIL,,,,,,,,,,
56138,MROW,MRO West,DFO,OIL,1,,,11,0,11,0,-40,0,-275
1123,MROW,MRO West,DFO,OIL,1,,,307.999,114,307.999,114,27.439,10.391,11224.86242
10864,MROW,MRO West,SUB,COAL,0.725311311,Yes,Yes,5440221.327,2233837.772,5440221.327,2233837.772,941472,408906,5778.420735
10860,MROW,MRO West,SUB,COAL,0.578368786,Yes,Yes,5965011.483,2502770.369,5965011.483,2502770.369,838855,366934,7110.896977
10861,MROW,MRO West,SUB,COAL,0.762701578,,Yes,141585.5721,60060.50609,141585.572,60060.506,23694,10050.934,5975.587579
1124,MROW,MRO West,NG,GAS,1,,,1031,569,1031,569,79,43,13050.63291
1125,MROW,MRO West,DFO,OIL,1,,,191,79,191,79,2,1,95500
56765,MROW,MRO West,WND,WIND,,,,0,0,3556654,1151690,373991,121103,
1126,MROW,MRO West,DFO,OIL,1,,,331,126.999,331,126.999,9.001,3,36773.69181
1127,SRMW,SERC Midwest,NG,GAS,1,,,701.998,272.999,701.998,272.999,55.998,21.998,12536.12629
1128,MROW,MRO West,DFO,OIL,1,,,64,0,64,0,7,0,9142.857143
7922,MROW,MRO West,DFO,OIL,1,,,64,0,64,0,7,0,9142.857143
58038,MROW,MRO West,WND,WIND,,,,0,0,62671,18223,6590,1916,
57632,MROW,MRO West,WND,WIND,,,,0,0,55520,16143,5838,1697,
1104,MROW,MRO West,SUB,COAL,0.597995034,,,13291968.22,4132620.509,13291968.22,4132620.509,1123924,342446,11826.39415
10855,MROW,MRO West,SUB,COAL,0.902573193,,Yes,508431.4748,164123.872,508431.475,164123.872,90563.012,42241.196,5614.118431
59071,MROW,MRO West,WND,WIND,,,,0,0,,,,,
56809,MROW,MRO West,WND,WIND,,,,0,0,4921376,1426347,517495,149984,
1129,MROW,MRO West,DFO,OIL,1,,,117,40.001,117,40.001,11.001,3.999,10635.39678
1105,MROW,MRO West,DFO,OIL,1,,,2660,1924,2660,1924,-596.999,-43,-4455.618854
56252,MROW,MRO West,WND,WIND,,,,0,0,5602189,1494459,589084,157146,
56677,MROW,MRO West,WND,WIND,,,,0,0,2290198,643979,240820,67716,
1132,MROW,MRO West,DFO,OIL,,,,,,,,,,
7847,MROW,MRO West,DFO,OIL,1,,,233.001,93.999,233.001,93.999,21,8.001,11095.28571
1079,MROW,MRO West,NG,GAS,1,,,17475,9752,17475,9752,-223,-124.444,-78363.2287
1134,MROW,MRO West,DFO,OIL,1,,,336.001,133.001,336.001,133.001,31.001,11.999,10838.39231
56831,MROW,MRO West,WND,WIND,,,,0,0,2971315,873104,312441,91809,
56859,MROW,MRO West,WND,WIND,,,,0,0,720430,209471,75755,22026,
57468,MROW,MRO West,WND,WIND,,,,0,0,1681721,530801,176837,55815,
58456,MROW,MRO West,WND,WIND,,,,0,0,57905,16836,6089,1770,
55035,MROW,MRO West,OBG,BIOMASS,0.311049277,Yes,Yes,49688.21289,22388.27609,49688.213,22388.276,8597,3874,5779.715353
1135,MROW,MRO West,DFO,OIL,1,,,186,70,186,70,18,7,10333.33333
6463,MROW,MRO West,DFO,OIL,1,,,5790.8,5790.8,5790.8,5790.8,-190,89,-30477.89474
50932,MROW,MRO West,OBG,BIOMASS,0.821330529,Yes,Yes,151013.001,67928.001,151013.001,67928.001,12378.999,5568,12199.12862
56194,MROW,MRO West,DFO,OIL,1,,,314,114,314,114,31,12,10129.03226
1060,MROW,MRO West,NUC,NUCLEAR,,,,0,0,43431125,22000919,4152468,2103517,
1046,MROW,MRO West,NG,GAS,1,,,273497.722,151399.35,273497.722,151399.35,10992,6958.95,24881.52493
6220,MROW,MRO West,DFO,OIL,1,,,504.999,191.001,504.999,191.001,47.001,17.999,10744.43097
1217,MROW,MRO West,NG,GAS,1,,,212810.595,47537.968,212810.595,47537.968,14317,2783,14864.18908
7865,MROW,MRO West,DFO,OIL,1,,,90,30,90,30,11,4,8181.818182
57873,MROW,MRO West,WND,WIND,,,,0,0,7202732,2220699,757385,233512,
6063,MROW,MRO West,NG,GAS,1,,,422862.2,134064.2,422862.2,134064.2,23785.001,6843,17778.52353
57417,MROW,MRO West,WND,WIND,,,,0,0,1387384,438477,145887,46107,
8031,MROW,MRO West,NG,GAS,1,,,6966041.505,3738130.203,6966041.505,3738130.203,1013806,578407,6871.178021
1137,MROW,MRO West,NG,GAS,1,,,1352.999,575,1352.999,575,156.999,67,8617.882916
56013,MROW,MRO West,NG,GAS,1,,,48992.223,13817.32,48992.223,13817.32,5096.001,2601.999,9613.85663
1218,MROW,MRO West,BIT,COAL,,,,,,,,,,
56172,MROW,MRO West,WND,WIND,,,,0,0,1471597,430870,154742,45307,
58457,MROW,MRO West,WND,WIND,,,,0,0,58191,16919,6119,1779,
1138,MROW,MRO West,DFO,OIL,1,,Yes,2295.001,867,2295.001,867,222.999,84.001,10291.53046
56925,MROW,MRO West,WND,WIND,,,,0,0,5419988,1497236,569925,157438,
56923,MROW,MRO West,WND,WIND,,,,0,0,5243509,1524491,551368,160304,
56924,MROW,MRO West,WND,WIND,,,,0,0,4801342,1376754,504873,144769,
57844,MROW,MRO West,WND,WIND,,,,0,0,2110888,644255,221965,67745,
57469,MROW,MRO West,WND,WIND,,,,0,0,4005870,1198061,421227,125979,
1130,MROW,MRO West,NG,GAS,1,,,17962,10023,17962,10023,967,540,18574.97415
1091,MROW,MRO West,SUB,COAL,0.744727562,,,35837261.6,16017673.98,35837261.6,16017673.98,3342137,1465175,10722.85834
7343,MROW,MRO West,SUB,COAL,0.151336005,,Yes,44058532,20068252.65,44058532,20068252.65,4323333,1957421,10190.87172
7857,MROW,MRO West,DFO,OIL,1,,,204,74,204,74,4,2,51000
1141,MROW,MRO West,DFO,OIL,1,,,120,40,120,40,10,4,12000
1142,MROW,MRO West,DFO,OIL,1,,,277.999,106.999,277.999,106.999,27,10.001,10296.25926
1143,MROW,MRO West,DFO,OIL,1,,,106,41,106,41,9.8,3.711,10816.32653
7985,MROW,MRO West,NG,GAS,1,,,726239.291,603463.384,726239.291,603463.384,79271,73782,9161.475079
1144,MROW,MRO West,DFO,OIL,1,,,192,72,192,72,16,6,12000
58458,MROW,MRO West,WND,WIND,,,,0,0,55175,16042,5802,1687,
7137,MROW,MRO West,NG,GAS,1,,,184464,113400,184464,113400,5766,3218,31991.67534
1145,MROW,MRO West,DFO,OIL,1,,,1245.999,476,1245.999,476,96,36,12979.15625
56010,MROW,MRO West,WND,WIND,,,,0,0,2558550,707600,269038,74406,
56860,MROW,MRO West,WND,WIND,,,,0,0,446962,129959,46999,13665,
1146,MROW,MRO West,DFO,OIL,1,,,45,0,45,0,4,0,11250
55816,MROW,MRO West,WND,WIND,,,,0,0,889623,259814,93546,27320,
57832,MROW,MRO West,WND,WIND,,,,0,0,1324648,418812,139290,44039,
58883,MROW,MRO West,WND,WIND,,,,0,0,,,,,
8108,MROW,MRO West,DFO,OIL,1,,,948,353,948,353,77,29,12311.68831
1150,MROW,MRO West,DFO,OIL,1,,,5662,1734,5662,1734,-703,-286.001,-8054.054054
56251,MROW,MRO West,WND,WIND,,,,0,0,5109741,1417731,537302,149078,
7966,MROW,MRO West,WND,WIND,,,,0,0,51972,15112,5465,1589,
1067,MROW,MRO West,WAT,HYDRO,,,,0,0,60009,27984,6310,2943,
57257,MROW,MRO West,WND,WIND,,,,0,0,33582,9764,3531,1027,
57252,MROW,MRO West,WND,WIND,,,,0,0,409873,119175,43099,12531,
10655,MROW,MRO West,DFO,OIL,,,Yes,,,,,,,
54201,MROW,MRO West,BIT,COAL,0.887397882,,Yes,672097.6622,262274.9482,672097.662,262274.948,114848,47992,5852.062397
54414,MROW,MRO West,DFO,OIL,1,,Yes,954,364.002,954,364.002,73.998,28.002,12892.24033
58444,MROW,MRO West,WND,WIND,,,,0,0,291465,84747,30648,8911,
1109,SRMW,SERC Midwest,WAT,HYDRO,,,,0,0,8271609.003,3857341.998,869780.001,405609.003,
59735,MROW,MRO West,WND,WIND,,,,0,0,,,,,
7849,MROW,MRO West,DFO,OIL,1,,,4564,1737,4564,1737,88,33,51863.63636
56216,MROW,MRO West,WND,WIND,,,,0,0,,,,,
1156,MROW,MRO West,DFO,OIL,1,,,1217.001,459.999,1217.001,459.999,122.001,45.999,9975.336268
1154,MROW,MRO West,DFO,OIL,1,,,547.999,223,547.999,223,52,21,10538.44231
56521,MROW,MRO West,LFG,BIOMASS,0.192415097,Yes,,339520.998,152719.998,339520.998,152719.998,28783.998,12946.998,11795.4774
1153,MROW,MRO West,DFO,OIL,1,,,353,133,353,133,37,14,9540.540541
57251,MROW,MRO West,WND,WIND,,,,0,0,393912,114533,41421,12044,
1155,MROW,MRO West,DFO,OIL,1,,,2611,984.001,2611,984.001,250.001,95,10443.95822
1047,MROW,MRO West,SUB,COAL,0.590806787,,,14970337.99,5461713.806,14970337.99,5461713.806,1328876,483801,11265.41377
57500,MROW,MRO West,WND,WIND,,,,0,0,3531689,1019519,371366,107205,
1157,MROW,MRO West,DFO,OIL,1,,,751.001,287,751.001,287,73.001,28,10287.54401
1158,MROW,MRO West,DFO,OIL,1,,,563,211,563,211,54.999,21.001,10236.54976
59228,MROW,MRO West,WND,WIND,,,,0,0,,,,,
59229,MROW,MRO West,WND,WIND,,,,0,0,,,,,
7155,MROW,MRO West,DFO,OIL,1,,,4647.939,2395.303,4647.939,2395.303,-674,-122,-6896.051929
57111,MROW,MRO West,WND,WIND,,,,0,0,3501724,1031654,368215,108481,
6664,MROW,MRO West,SUB,COAL,0.168668332,,,49281497.33,21080868.39,49281497.33,21080868.39,4970029,2105489,9915.736373
58884,MROW,MRO West,WND,WIND,,,,0,0,2470726,261753,259803,27524,
58407,MROW,MRO West,WND,WIND,,,,0,0,36982,10753,3889,1131,
58885,MROW,MRO West,WND,WIND,,,,0,0,187176,0,19682,0,
1160,MROW,MRO West,DFO,OIL,1,,,1135,428,1135,428,-70.999,-26.885,-15986.14065
1162,MROW,MRO West,NG,GAS,1,,,657.999,311,657.999,311,-720.001,-346.978,-913.8862307
7921,MROW,MRO West,DFO,OIL,1,,,0,0,0,0,-294,-111.324,0
1068,MROW,MRO West,DFO,OIL,1,,,138772.296,3866.317,138772.296,3866.317,9729,-116.001,14263.77798
58236,MROW,MRO West,NG,GAS,,,,,,,,,,
1163,MROW,MRO West,DFO,OIL,1,,,106,41,106,41,7,3,15142.85714
58459,MROW,MRO West,WND,WIND,,,,0,0,58333,16961,6134,1784,
1097,MROW,MRO West,NG,GAS,1,,,5454,3045,5454,3045,7,4,779142.8571
54700,MROW,MRO West,LFG,BIOMASS,0.071070547,Yes,Yes,971655.003,437058.003,971655.003,437058.003,84921.001,38198.003,11441.8694
59231,SRMW,SERC Midwest,WND,WIND,,,,0,0,,,,,
59053,MROW,MRO West,WND,WIND,,,,0,0,,,,,
59232,MROW,MRO West,WND,WIND,,,,0,0,,,,,
1164,MROW,MRO West,DFO,OIL,1,,,428,161.002,428,161.002,40,15.001,10700
1048,MROW,MRO West,SUB,COAL,0.701692718,,,9432698.417,3977924.207,9432698.417,3977924.207,787813,337966,11973.27084
1165,MROW,MRO West,NG,GAS,1,,,2567.998,1153.002,2567.998,1153.002,228.998,102.999,11214.063
57875,MROW,MRO West,WND,WIND,,,,0,0,3611575,1123208,379766,118108,
1166,MROW,MRO West,DFO,OIL,1,,,5544.996,2108.004,5544.996,2108.004,608.004,230.004,9119.999211
1167,MROW,MRO West,SUB,COAL,0.711929451,,Yes,14846265.31,6326514.739,14846265.31,6326514.739,958600,384101,15487.44556
58265,MROW,MRO West,NG,GAS,,,Yes,,,,,,,
1168,MROW,MRO West,NG,GAS,1,,,4889.001,2225,4889.001,2225,486.001,221.001,10059.65214
57609,MROW,MRO West,WND,WIND,,,,0,0,2544618,854682,267573,89872,
58414,MROW,MRO West,WND,WIND,,,,0,0,53083,15434,5582,1623,
7856,MROW,MRO West,DFO,OIL,1,,,198,72,198,72,18,7,11000
56383,MROW,MRO West,WND,WIND,,,,0,0,2070499,597076,217718,62784,
57672,MROW,MRO West,NG,GAS,1,,,3516,1963,3516,1963,331,185,10622.3565
1169,MROW,MRO West,DFO,OIL,1,,,535,197,535,197,-56.999,-21.583,-9386.129581
59227,MROW,MRO West,WND,WIND,,,,0,0,,,,,
59226,MROW,MRO West,WND,WIND,,,,0,0,,,,,
59223,MROW,MRO West,WND,WIND,,,,0,0,,,,,
59224,MROW,MRO West,WND,WIND,,,,0,0,,,,,
59225,MROW,MRO West,WND,WIND,,,,0,0,,,,,
1172,MROW,MRO West,WND,WIND,,,,858.999,421,50226.999,14776,5059.999,1444.472,9926.286349
56913,MROW,MRO West,WND,WIND,,,,0,0,1501078,466741,157842,49079,
56645,MROW,MRO West,WND,WIND,,,,0,0,3196483,965122,336118,101485,
58138,MROW,MRO West,NG,GAS,0.189548453,,Yes,451770,252107,451770,252107,45088,25161,10019.73918
6254,MROW,MRO West,SUB,COAL,0.643381029,,,33536071.37,15056308.27,33536071.37,15056308.27,2632396,1189468,12739.75168
1173,MROW,MRO West,WAT,HYDRO,,,,0,0,23918,11154,2515.001,1172.999,
7584,MROW,MRO West,DFO,OIL,1,,,422.001,161.001,422.001,161.001,38,14,11105.28947
1175,MROW,MRO West,SUB,COAL,,,,,,,,,,
7971,MROW,MRO West,DFO,OIL,1,,,4179.994,1579.998,4179.994,1579.998,394.002,149.002,10609.06797
58044,MROW,MRO West,WND,WIND,,,,0,0,175117,50917,18414,5354,
56797,MROW,MRO West,WND,WIND,,,,0,0,9535647,2650113,1002697,278666,
7145,MROW,MRO West,NG,GAS,1,,,127332.394,54684.026,127332.394,54684.026,7783.999,3599,16358.22332
57976,MROW,MRO West,WND,WIND,,,,0,0,2360438,805867,248206,84739,
56501,MROW,MRO West,WND,WIND,,,,0,0,8896451,2493369.001,935484,262184,
1073,MROW,MRO West,SUB,COAL,0.767249161,,Yes,11589075.52,5035819.851,11589075.52,5035819.851,703370,308681,16476.49959
1176,MROW,MRO West,DFO,OIL,,,,,,,,,,
1177,MROW,MRO West,DFO,OIL,,,,,,,,,,
7595,MROW,MRO West,NG,GAS,1,,,6938,3871,6938,3871,-211,-117.748,-32881.51659
58434,MROW,MRO West,WAT,HYDRO,,,,0,0,,,,,
57830,MROW,MRO West,WND,WIND,,,,0,0,1557225,534881,163746,56244,
1084,MROW,MRO West,NG,GAS,1,,,31486,17570,31486,17570,551,307,57143.37568
1081,MROW,MRO West,SUB,COAL,0.475366214,,Yes,6493381.63,2697969.216,6493381.63,2697969.216,635836,259583,10212.35292
1181,MROW,MRO West,DFO,OIL,1,,,517,197,517,197,21,8,24619.04762
1180,MROW,MRO West,DFO,OIL,1,,Yes,84,30,84,30,6.86,2.597,12244.89796
58089,MROW,MRO West,WND,WIND,,,,0,0,47474,13803,4992,1451,
57501,MROW,MRO West,WND,WIND,,,,0,0,13342588,3944663,1403006,414791,
57953,MROW,MRO West,PC,OIL,1,,Yes,815024.793,314312.7999,815024.793,314312.8,124405,47569,6551.382927
7850,MROW,MRO West,DFO,OIL,1,,,5420,2056,5420,2056,84,32,64523.80952
7060,MROW,MRO West,DFO,OIL,1,,,120,57,120,57,8,4,15000
1184,MROW,MRO West,DFO,OIL,1,,,591.001,260,591.001,260,62,27.001,9532.274194
1058,MROW,MRO West,,,,,,,,,,,,
58460,MROW,MRO West,WND,WIND,,,,0,0,60380,17556,6349,1846,
7758,MROW,MRO West,DFO,OIL,1,,,532.002,199.002,532.002,199.002,52.002,19.998,10230.41421
7926,MROW,MRO West,DFO,OIL,1,,,11,0,11,0,1,0,11000
1186,MROW,MRO West,KER,OIL,1,,,3737,1418,3737,1418,170,64,21982.35294
1187,MROW,MRO West,NG,GAS,1,,,2368.001,901.002,2368.001,901.002,62.001,24,38192.9485
54793,MROW,MRO West,WND,WIND,,,,0,0,1872490.999,576211,196897,60590.001,
55287,MROW,MRO West,WND,WIND,,,,0,0,1831589,451945,192596,47523,
1188,MROW,MRO West,DFO,OIL,1,,,594.001,221.999,594.001,221.999,51,19,11647.07843
58927,MROW,MRO West,WND,WIND,,,,0,0,52953,15397,5568,1619,
1189,MROW,MRO West,DFO,OIL,,,,,,,,,,
1131,MROW,MRO West,BIT,COAL,1,,,233030.532,40948.941,233030.532,40948.941,13714,1817,16992.16363
1190,MROW,MRO West,DFO,OIL,1,,,84,30.001,84,30.001,3.001,1,27990.66978
1206,MROW,MRO West,NG,GAS,1,,,84595.922,84400.59,84595.922,84400.59,6418,6418,13181.04113
1191,MROW,MRO West,DFO,OIL,1,,,340,123.999,340,123.999,25.999,10,13077.42605
1077,MROW,MRO West,NG,GAS,1,,,676240.256,176723.206,676240.256,176723.206,30701,6694,22026.65242
8029,MROW,MRO West,NG,GAS,1,,,60798.721,21294.507,60798.721,21294.507,2816,1153,21590.4549
8106,MROW,MRO West,DFO,OIL,1,,,656.998,250.001,656.998,250.001,62.999,24,10428.70522
55804,MROW,MRO West,WND,WIND,,,,0,0,1618765,482966,170217,50785,
56386,MROW,MRO West,WND,WIND,,,,0,0,872819,247945,91779,26072,
56025,MROW,MRO West,DFO,OIL,1,,,268,105,268,105,-153,-57.934,-1751.633987
1192,MROW,MRO West,DFO,OIL,1,,,501.001,266,501.001,266,-65,-34.507,-7707.707692
7920,MROW,MRO West,DFO,OIL,1,,,145,53,145,53,-107,-40.516,-1355.140187
58932,MROW,MRO West,WND,WIND,,,,0,0,63735,18532,6702,1949,
54775,MROW,MRO West,BIT,COAL,0.915799359,Yes,Yes,379618.2581,154942.4749,379618.258,154942.475,67372.948,29435.072,5634.579892
50088,MROW,MRO West,BIT,COAL,0.993074581,,Yes,78551.27223,29728.90414,78551.272,29728.904,13413,4001,5856.353704
59230,MROW,MRO West,WND,WIND,,,,0,0,,,,,
56379,MROW,MRO West,WND,WIND,,,,0,0,3446604,1078110,362419,113366,
57874,MROW,MRO West,WND,WIND,,,,0,0,4985210,1470742,524207,154652,
1193,MROW,MRO West,DFO,OIL,1,,,120,40,120,40,12,5,10000
1194,MROW,MRO West,DFO,OIL,1,,,7937.001,4106,7937.001,4106,-242,-125.247,-32797.52479
56811,MROW,MRO West,WND,WIND,,,,0,0,4511238,1393775,474368,146559,
1082,MROW,MRO West,SUB,COAL,0.178298109,,Yes,106729699.1,45338344.57,106729699.1,45338344.57,10799462,4591080,9882.871863
59379,MROW,MRO West,DFO,OIL,,,,,,,,,,
7851,MROW,MRO West,DFO,OIL,1,,,4032.999,1523.997,4032.999,1523.997,-17.001,-6.435,-237221.2811
57214,MROW,MRO West,WND,WIND,,,,0,0,68643,19958.001,7218,2099.001,
6554,MROW,MRO West,DFO,OIL,1,,,5495,2776,5495,2776,448,226,12265.625
1198,MROW,MRO West,DFO,OIL,1,,,496,188,496,188,35,13,14171.42857
58886,MROW,MRO West,WND,WIND,,,,0,0,304986,0,32070,0,
1199,MROW,MRO West,DFO,OIL,1,,,645.001,240.999,645.001,240.999,35,13,18428.6
56517,MROW,MRO West,DFO,OIL,1,,,420,162,420,162,41.16,15.584,10204.08163
1200,MROW,MRO West,DFO,OIL,1,,,4490,1699,4490,1699,290,110,15482.75862
7853,MROW,MRO West,DFO,OIL,1,,,78,30,78,30,8,3,9750
56355,MROW,MRO West,WND,WIND,,,,0,0,5911387,1573143,621597,165420,
1201,MROW,MRO West,DFO,OIL,,,,,,,,,,
1202,MROW,MRO West,DFO,OIL,1,,,631.999,238.999,631.999,238.999,59.001,22,10711.6659
58071,MROW,MRO West,WND,WIND,,,,0,0,54170,15752,5696,1656,
56764,MROW,MRO West,WND,WIND,,,,0,0,648895,188671,68233,19839,
1203,MROW,MRO West,DFO,OIL,1,,,1081.001,531.999,1081.001,531.999,71.999,35,15014.11131
58461,MROW,MRO West,WND,WIND,,,,0,0,57916,16840,6090,1771,
57631,MROW,MRO West,WND,WIND,,,,0,0,51506,14975,5416,1575,
56218,MROW,MRO West,WND,WIND,,,,0,0,,,,,
851,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,1527278.001,744801,160596.999,78318,
54690,NWPP,WECC Northwest,BIT,COAL,0.459586417,,Yes,224766.5627,97228.75197,224766.563,97228.752,39954,16290.205,5625.633545
10504,NWPP,WECC Northwest,NG,GAS,0.474939975,,Yes,258236.3138,70513.4621,258236.314,70513.462,46019.498,12118.987,5611.454383
809,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,2512608,1225313.001,264207,128844.999,
60011,NWPP,WECC Northwest,SUN,SOLAR,,,,0,0,,,,,
60012,NWPP,WECC Northwest,SUN,SOLAR,,,,0,0,,,,,
6395,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,820703,400229,86299,42085,
56997,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,691005,336980,72661,35434,
825,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,312174.001,152237.001,32826,16007.999,
59529,NWPP,WECC Northwest,LFG,BIOMASS,0.758038432,Yes,,59825,37677,59825,37677,4838,3047,12365.64696
10735,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,98429,48000,10350,5047,
56637,NWPP,WECC Northwest,WND,WIND,,,,0,0,425278,145236,44719,15272,
55733,NWPP,WECC Northwest,NG,GAS,1,,,766559.814,542400.839,766559.814,542400.839,70483,49629,10875.81139
57393,NWPP,WECC Northwest,OBG,BIOMASS,0.293569254,Yes,Yes,106833,45117,106833,45117,8744,3693,12217.86368
10140,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,125626,61263,13210,6442,
6396,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,605283,295175,63647,31038,
54514,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,32011,15611,3366,1641,
810,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,2867807.001,1398531.999,301557,147059.001,
6397,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,66930.999,32639.001,7038,3432,
811,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,18234902,7398276,1917445,777947,
56434,NWPP,WECC Northwest,WND,WIND,,,,0,0,582610,198967,61263,20922,
50895,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,257264.001,125460,27051.999,13191.999,
59496,NWPP,WECC Northwest,NG,GAS,,,,,,,,,,
812,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,3483305.001,1698687,366278.001,178620.999,
833,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,11359505,5828889,1194480,612922,
57125,NWPP,WECC Northwest,WND,WIND,,,,0,0,635392,216992,66813,22817,
57343,NWPP,WECC Northwest,OBG,BIOMASS,0.513318113,Yes,Yes,95376,40277,95376,40277,9482,4005,10058.63742
57344,NWPP,WECC Northwest,OBG,BIOMASS,0.26606093,Yes,Yes,130444.3849,55087.59099,130444.385,55087.591,13463.001,5685.999,9689.101626
57345,NWPP,WECC Northwest,OBG,BIOMASS,0.517546085,Yes,Yes,89065.75756,37614.04601,89065.758,37614.046,7718,3260,11540.00487
813,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,409672,199783,43078,21008,
56935,NWPP,WECC Northwest,WND,WIND,,,,0,0,428684,146399,45077,15394,
56934,NWPP,WECC Northwest,WND,WIND,,,,0,0,253414,86543,26647,9100,
56893,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,39192,29934,4121.001,3147,
841,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,404660,197339,42551,20751,
59697,NWPP,WECC Northwest,SUN,SOLAR,,,,0,0,,,,,
59698,NWPP,WECC Northwest,SUN,SOLAR,,,,0,0,,,,,
59699,NWPP,WECC Northwest,SUN,SOLAR,,,,0,0,,,,,
59700,NWPP,WECC Northwest,SUN,SOLAR,,,,0,0,,,,,
814,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,161318,78669,16963,8272,
50637,NWPP,WECC Northwest,BLQ,BIOMASS,0.698241929,Yes,Yes,2519655.817,1025048.671,2519655.817,1025048.671,379869,165386,6632.959829
57431,NWPP,WECC Northwest,WND,WIND,,,,0,0,511573,174706,53793,18371,
826,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,,,,,
10806,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,100263,48894,10543,5141,
57430,NWPP,WECC Northwest,WND,WIND,,,,0,0,596088,203569,62680,21406,
10807,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,144001,70224,15142,7384,
57425,NWPP,WECC Northwest,OBG,BIOMASS,0.178885464,Yes,Yes,287088.999,121239.999,287088.999,121239.999,27305.001,11531.001,10514.15449
54394,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,73405,35797,7719,3764,
840,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,16591802,8416074,1744669,884971,
50891,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,39941,19478,4200,2048,
7953,NWPP,WECC Northwest,NG,GAS,1,,,591493.944,430626.708,591493.944,430626.708,55191.999,40580,10717.02339
54668,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,515013,251153,54155,26410,
58384,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,33161,16171,3487,1700,
6359,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,307294.999,149856.999,32313,15758.001,
10028,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,307325.001,149871,32316,15758.999,
57902,NWPP,WECC Northwest,LFG,BIOMASS,0.819694159,Yes,,100742,42544,100742,42544,8639,3648,11661.30339
54674,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,34683.999,16914,3647.001,1779,
56308,NWPP,WECC Northwest,WND,WIND,,,,0,0,235611,80464,24775,8461,
790,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,1174722,572871,123525,60239,
54578,NWPP,WECC Northwest,NG,GAS,,,Yes,,,,,,,
56435,NWPP,WECC Northwest,WND,WIND,,,,0,0,323103,110342,33975,11603,
57211,NWPP,WECC Northwest,WND,WIND,,,,0,0,3810469,1333845,400680,140257,
827,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,533214.999,260031,56069.001,27342.999,
57428,NWPP,WECC Northwest,WND,WIND,,,,0,0,576400,196846,60610,20699,
54558,NWPP,WECC Northwest,WAT,HYDRO,,,,0,0,220049,107310,23139,11284,
