EPA_FUEL_TYPE,MECS_FT_byp
No6 Oil & Used Oil Blend,Residual_fuel_oil
No6 Fuel Oil Blend,Residual_fuel_oil
Blended Fuel Oil,Residual_fuel_oil
No.6 Oil & Used Oil Blend,Residual_fuel_oil
Blend (liquid),Residual_fuel_oil
Fuel Gas,Waste_gas
Landfill Gas,Biomass
Other Biomass Gases,Biomass
Biogas (Captured methane),Biomass
Refinery Fuel Gas 1,Waste_gas
Refinery Fuel Gas 2,Waste_gas
Refinery Fuel Gas 661703,Waste_gas
Refinery Fuel Gas 662701,Waste_gas
Process Gas,Waste_gas
Engineered Fuel,Waste_gas
Demethanizer Fuel,Waste_gas
Fuel,Waste_gas
Acid Gas,Waste_gas
CFU MD Fuel Gas,Waste_gas
4UF Fuel Gas,Waste_gas
SRUMD Fuel Gas,Waste_gas
HCC3 NG/OG Blend A,Waste_gas
HCC3 NG/OG A and B,Waste_gas
HCC-3A NG/OG A and B,Waste_gas
HCC3A NG/OG Blend A,Waste_gas
FurnGas,Waste_gas
NOx Red. Agent,Waste_gas
Ethylene Unit Tail Gas,Waste_gas
Other Gaseous Fuel,Waste_gas
Natural and Process Gas Blend,Waste_gas
VPS-2 Waste Gas,Waste_gas
VPS-1 Waste Gas,Waste_gas
H-OIL Waste Gas,Waste_gas
Vacuum Tail Gas,Waste_gas
Other Gaseous Fuel,Waste_gas
KATT,Waste_gas
KATT Fuel,Waste_gas
HYD-01,Waste_gas
Abatement Gas,Waste_gas
Oilfield Gas,Waste_gas
Tail Gas,Waste_gas
Vacuum Gas,Waste_gas
OFG,Waste_gas
Refinery Fuel Gas,Waste_gas
PSA Gas,Waste_gas
Combined Purge Gas and Cold Box Fuel,Waste_gas
Ethylene off-gas,Waste_gas
Other Gaseous Fuel,Waste_gas
vent gas (Oxo Propane Recycle),Waste_gas
Oxo Propane Recycle,Waste_gas
WGA,Waste_gas
LFG,Waste_gas
Waste 1,Waste_gas
Waste 2,Waste_gas
Reactor offgas,Waste_gas
RDF,Waste_gas
Mixed Gas (NG + MAP),Waste_gas
Process Off-gas,Waste_gas
Process OffGas,Waste_gas
OffGas,Waste_gas
Other - Off Gas,Waste_gas
Off Gas (Other),Waste_gas
Methane Fuel Gas,Waste_gas
Other Gaseous Fuel,Waste_gas
Refinery Fuel/ Bullet Gas,Waste_gas
Syngas,Waste_gas
Mixed Fuel Gas,Waste_gas
Condensate Tank Vapors,Waste_gas
Blend (gas),Waste_gas
Process Gas Only,Waste_gas
Mixed Gas (NG + MAP),Waste_gas
Hydrogen Fuel Gas,Waste_gas
CRU MD Fuel Gas,Waste_gas
Remediation - Thermal Oxidizer,Waste_gas
CFU MD Fuel Gas,Waste_gas
Refinery Produced Gas,Waste_gas
refinery gas,Waste_gas
Other (gas),Waste_gas
#2 HP Off Gas,Waste_gas
100 Side Off-Gas ,Waste_gas
150 Side Off-Gas ,Waste_gas
Used Oil,Waste_oils_tars_waste_materials
Asphalt and Road Oil,Waste_oils_tars_waste_materials
Municipal Solid Waste,Biomass
Tires,Waste_oils_tars_waste_materials
Plastics,Waste_oils_tars_waste_materials
Solid Byproducts,Waste_oils_tars_waste_materials
Vegetable Oil,Biomass
Waste oil,Waste_oils_tars_waste_materials
Wastewater Treatment Plant Sludge,Waste_oils_tars_waste_materials
Waste oil,Waste_oils_tars_waste_materials
tire fluff,Waste_oils_tars_waste_materials
Tire fluff,Waste_oils_tars_waste_materials
Tire Fluff,Waste_oils_tars_waste_materials
Heavy Residue,Waste_oils_tars_waste_materials
Railroad Ties,Waste_oils_tars_waste_materials
Tire chips,Waste_oils_tars_waste_materials
Carpet Fines,Waste_oils_tars_waste_materials
Processed Oily Waste,Waste_oils_tars_waste_materials
P-300 Liquid Bottoms,Waste_oils_tars_waste_materials
Wood and Wood Residuals (dry basis),Biomass
Wood and Wood Residuals,Biomass
Wood  wood oil  and wood pellets,Biomass
OCCrejects,Biomass
OCCRejects,Biomass
OCC Rejects,Biomass
Old Corrugated Container Rejects,Biomass
OCC Rejects,Biomass
Refinery Fuel Gas 662701,Waste_gas
Refinery Gas,Waste_gas
