hour,saturday,SIC,sunday,weekday
9,0.65,29,0.64,0.96
1,0.63,30,0.42,0.85
10,0.58,30,0.385,0.99
11,0.58,30,0.38,0.99
12,0.58,30,0.375,0.99
13,0.58,30,0.37,0.98
14,0.57,30,0.365,0.98
15,0.56,30,0.36,0.97
16,0.55,30,0.36,0.96
17,0.54,30,0.36,0.96
18,0.53,30,0.36,0.95
19,0.53,30,0.36,0.94
2,0.63,30,0.42,0.85
20,0.53,30,0.38,0.93
21,0.53,30,0.39,0.93
22,0.52,30,0.41,0.92
23,0.5,30,0.44,0.9
24,0.47,30,0.49,0.89
3,0.62,30,0.42,0.84
4,0.615,30,0.415,0.86
5,0.61,30,0.41,0.87
6,0.605,30,0.405,0.91
7,0.6,30,0.4,0.96
8,0.59,30,0.4,0.98
9,0.58,30,0.39,0.99
1,0.41,31,0.2,0.46
10,0.53,31,0.2,0.98
11,0.52,31,0.205,1
12,0.46,31,0.205,0.99
13,0.41,31,0.21,0.96
14,0.4,31,0.219,0.96
15,0.36,31,0.21,0.94
16,0.28,31,0.21,0.78
17,0.245,31,0.219,0.66
18,0.23,31,0.21,0.58
19,0.222,31,0.21,0.55
2,0.37,31,0.195,0.45
20,0.22,31,0.22,0.55
21,0.219,31,0.22,0.52
22,0.215,31,0.225,0.51
23,0.21,31,0.245,0.51
24,0.2,31,0.32,0.49
3,0.35,31,0.21,0.455
4,0.345,31,0.195,0.455
5,0.35,31,0.195,0.46
6,0.37,31,0.195,0.6
7,0.48,31,0.195,0.82
8,0.53,31,0.195,0.97
9,0.54,31,0.195,0.99
1,0.64,32,0.54,0.91
10,0.59,32,0.54,0.965
11,0.6,32,0.54,0.97
12,0.59,32,0.54,0.97
13,0.59,32,0.54,0.965
14,0.59,32,0.54,0.975
15,0.58,32,0.54,0.965
16,0.58,32,0.54,0.95
17,0.575,32,0.54,0.94
18,0.57,32,0.54,0.945
19,0.57,32,0.53,0.94
2,0.64,32,0.54,0.91
20,0.57,32,0.54,0.94
21,0.57,32,0.54,0.94
22,0.57,32,0.54,0.94
23,0.56,32,0.54,0.95
24,0.55,32,0.55,0.945
3,0.64,32,0.54,0.91
4,0.64,32,0.54,0.91
5,0.63,32,0.54,0.91
6,0.63,32,0.54,0.91
7,0.62,32,0.54,0.93
8,0.6,32,0.54,0.945
9,0.59,32,0.54,0.965
1,0.64,33,0.465,0.82
10,0.625,33,0.43,0.955
11,0.62,33,0.445,0.95
12,0.63,33,0.445,0.945
13,0.64,33,0.445,0.96
14,0.64,33,0.46,0.965
15,0.615,33,0.465,0.95
16,0.61,33,0.44,0.93
17,0.6,33,0.44,0.92
18,0.58,33,0.44,0.91
19,0.57,33,0.45,0.9
2,0.63,33,0.465,0.815
20,0.57,33,0.45,0.91
21,0.58,33,0.46,0.915
22,0.57,33,0.48,0.915
23,0.55,33,0.5,0.89
24,0.52,33,0.52,0.87
3,0.62,33,0.47,0.82
4,0.61,33,0.465,0.83
5,0.62,33,0.47,0.845
6,0.63,33,0.46,0.86
7,0.64,33,0.46,0.89
8,0.645,33,0.44,0.93
9,0.645,33,0.435,0.95
1,0.71,281,0.64,0.94
10,0.67,281,0.62,0.98
11,0.67,281,0.62,0.98
12,0.67,281,0.62,0.98
13,0.67,281,0.62,0.98
14,0.66,281,0.62,0.99
15,0.66,281,0.62,0.98
16,0.66,281,0.62,0.98
17,0.66,281,0.62,0.97
18,0.65,281,0.63,0.96
19,0.64,281,0.64,0.96
2,0.71,281,0.64,0.94
20,0.65,281,0.64,0.96
21,0.66,281,0.64,0.96
22,0.66,281,0.64,0.96
23,0.66,281,0.64,0.96
24,0.66,281,0.64,0.96
3,0.71,281,0.64,0.94
4,0.71,281,0.66,0.94
5,0.71,281,0.64,0.94
6,0.7,281,0.64,0.94
7,0.68,281,0.64,0.95
8,0.68,281,0.64,0.96
9,0.67,281,0.63,0.98
1,0.92,286,0.91,0.91
10,0.91,286,0.88,0.92
11,0.92,286,0.89,0.92
12,0.92,286,0.89,0.92
13,0.88,286,0.89,0.92
14,0.89,286,0.89,0.92
15,0.91,286,0.89,0.93
16,0.92,286,0.89,0.94
17,0.93,286,0.9,0.92
18,0.92,286,0.91,0.91
19,0.89,286,0.9,0.9
2,0.91,286,0.92,0.91
20,0.92,286,0.91,0.91
21,0.92,286,0.91,0.91
22,0.92,286,0.91,0.92
23,0.92,286,0.92,0.92
24,0.93,286,0.93,0.91
3,0.91,286,1,0.91
4,0.92,286,0.94,0.92
5,0.93,286,0.92,0.92
6,0.94,286,0.91,0.9
7,0.92,286,0.9,0.88
8,0.92,286,0.88,0.89
9,0.9,286,0.85,0.92
1,0.5,307,0.27,0.8
10,0.43,307,0.23,0.98
11,0.43,307,0.23,0.99
12,0.43,307,0.23,1
13,0.43,307,0.23,0.97
14,0.42,307,0.23,1
15,0.41,307,0.23,0.99
16,0.4,307,0.23,0.98
17,0.39,307,0.23,0.96
18,0.38,307,0.23,0.94
19,0.38,307,0.24,0.92
2,0.48,307,0.27,0.8
20,0.38,307,0.25,0.91
21,0.38,307,0.27,0.905
22,0.37,307,0.28,0.905
23,0.36,307,0.36,0.9
24,0.31,307,0.42,0.9
3,0.48,307,0.27,0.8
4,0.48,307,0.26,0.8
5,0.48,307,0.26,0.8
6,0.48,307,0.26,0.82
7,0.47,307,0.26,0.88
8,0.44,307,0.24,0.95
9,0.43,307,0.23,0.96
1,0.87,324,0.805,0.87
10,0.97,324,0.82,0.81
11,1,324,0.835,0.78
12,0.98,324,0.825,0.775
13,0.98,324,0.82,0.77
14,0.98,324,0.855,0.775
15,0.96,324,0.88,0.79
16,0.96,324,0.88,0.8
17,0.96,324,0.88,0.8
18,0.96,324,0.88,0.84
19,0.96,324,0.84,0.85
2,0.92,324,0.795,0.85
20,0.96,324,0.9,0.87
21,0.95,324,0.91,0.88
22,0.955,324,0.9,0.885
23,0.89,324,0.925,0.87
24,0.85,324,0.93,0.87
3,0.925,324,0.8,0.86
4,0.895,324,0.76,0.875
5,0.9,324,0.76,0.87
6,0.94,324,0.8,0.86
7,0.96,324,0.798,0.86
8,0.97,324,0.81,0.83
9,0.98,324,0.82,0.83
1,0.175,327,0.17,0.865
10,0.18,327,0.16,1
11,0.18,327,0.16,0.99
12,0.18,327,0.16,0.98
13,0.18,327,0.16,0.96
14,0.18,327,0.16,0.975
15,0.175,327,0.16,0.97
16,0.175,327,0.16,0.95
17,0.175,327,0.16,0.91
18,0.17,327,0.16,0.89
19,0.17,327,0.16,0.88
2,0.175,327,0.17,0.86
20,0.17,327,0.16,0.88
21,0.17,327,0.16,0.88
22,0.17,327,0.16,0.885
23,0.17,327,0.16,0.89
24,0.17,327,0.16,0.88
3,0.18,327,0.165,0.86
4,0.18,327,0.175,0.865
5,0.18,327,0.175,0.87
6,0.18,327,0.17,0.89
7,0.18,327,0.165,0.93
8,0.18,327,0.16,0.98
9,0.18,327,0.16,0.99
1,0.64,331,0.4,0.89
10,0.6,331,0.38,0.93
11,0.64,331,0.395,0.93
12,0.655,331,0.395,0.91
13,0.68,331,0.405,0.93
14,0.55,331,0.42,0.93
15,0.56,331,0.435,0.955
16,0.545,331,0.41,0.945
17,0.55,331,0.405,0.95
18,0.49,331,0.4,0.95
19,0.44,331,0.41,0.92
2,0.67,331,0.4,0.85
20,0.44,331,0.4,0.9
21,0.46,331,0.415,0.93
22,0.44,331,0.44,0.93
23,0.43,331,0.49,0.9
24,0.41,331,0.62,0.9
3,0.67,331,0.405,0.84
4,0.62,331,0.415,0.87
5,0.68,331,0.42,0.885
6,0.68,331,0.4,0.91
7,0.67,331,0.4,0.89
8,0.69,331,0.38,0.89
9,0.65,331,0.38,0.96
1,0.4,332,0.225,0.81
10,0.305,332,0.2,0.98
11,0.295,332,0.2,0.99
12,0.29,332,0.205,0.98
13,0.29,332,0.205,0.99
14,0.29,332,0.21,0.99
15,0.275,332,0.205,0.97
16,0.265,332,0.21,0.93
17,0.265,332,0.22,0.915
18,0.265,332,0.22,0.89
19,0.26,332,0.225,0.87
2,0.37,332,0.2,0.79
20,0.26,332,0.23,0.875
21,0.26,332,0.24,0.87
22,0.26,332,0.26,0.87
23,0.255,332,0.305,0.845
24,0.25,332,0.36,0.83
3,0.345,332,0.225,0.79
4,0.33,332,0.215,0.795
5,0.335,332,0.21,0.83
6,0.34,332,0.21,0.88
7,0.34,332,0.21,0.95
8,0.33,332,0.205,0.97
9,0.325,332,0.2,0.99
1,0.19,339,0.18,0.65
10,0.195,339,0.18,0.945
11,0.2,339,0.185,0.995
12,0.2,339,0.185,0.955
13,0.195,339,0.18,0.965
14,0.195,339,0.18,0.95
15,0.19,339,0.18,0.87
16,0.18,339,0.18,0.78
17,0.18,339,0.18,0.76
18,0.18,339,0.18,0.715
19,0.185,339,0.18,0.705
2,0.19,339,0.18,0.64
20,0.18,339,0.18,0.675
21,0.18,339,0.18,0.685
22,0.18,339,0.18,0.67
23,0.18,339,0.18,0.67
24,0.18,339,0.18,0.63
3,0.19,339,0.18,0.64
4,0.19,339,0.175,0.655
5,0.19,339,0.175,0.685
6,0.19,339,0.18,0.72
7,0.19,339,0.18,0.78
8,0.195,339,0.18,0.87
9,0.195,339,0.18,0.955
1,0.2,2821,0.2,1
10,0.2,2821,0.2,0.96
11,0.2,2821,0.2,0.96
12,0.2,2821,0.2,0.96
13,0.2,2821,0.2,0.96
14,0.2,2821,0.2,0.97
15,0.2,2821,0.2,0.97
16,0.2,2821,0.2,0.97
17,0.2,2821,0.2,0.97
18,0.2,2821,0.2,0.98
19,0.2,2821,0.2,0.99
2,0.2,2821,0.2,1
20,0.2,2821,0.2,1
21,0.2,2821,0.2,1
22,0.2,2821,0.2,1
23,0.2,2821,0.2,1
24,0.2,2821,0.2,1
3,0.2,2821,0.2,1
4,0.2,2821,0.2,1
5,0.2,2821,0.2,1
6,0.2,2821,0.2,1
7,0.2,2821,0.2,0.99
8,0.2,2821,0.2,0.98
9,0.2,2821,0.2,0.97
1,0.8,2831,0.76,0.84
10,0.8,2831,0.79,0.94
11,0.81,2831,0.79,0.96
12,0.82,2831,0.79,0.98
13,0.82,2831,0.79,0.99
14,0.82,2831,0.79,1
15,0.82,2831,0.79,1
16,0.81,2831,0.79,0.97
17,0.81,2831,0.79,0.96
18,0.79,2831,0.78,0.93
19,0.79,2831,0.78,0.92
2,0.78,2831,0.76,0.82
20,0.79,2831,0.78,0.91
21,0.78,2831,0.78,0.9
22,0.77,2831,0.77,0.89
23,0.77,2831,0.77,0.88
24,0.77,2831,0.77,0.87
3,0.78,2831,0.76,0.81
4,0.77,2831,0.76,0.8
5,0.77,2831,0.76,0.8
6,0.77,2831,0.76,0.8
7,0.77,2831,0.76,0.81
8,0.77,2831,0.77,0.84
9,0.79,2831,0.78,0.88
1,0.987,262,0.909,0.947
2,0.988,262,0.925,0.949
3,0.993,262,0.953,0.95
4,0.99,262,0.921,0.951
5,0.975,262,0.914,0.947
6,0.967,262,0.91,0.94
7,0.952,262,0.904,0.932
8,0.94,262,0.894,0.931
9,0.933,262,0.892,0.932
10,0.939,262,0.897,0.926
11,0.937,262,0.899,0.924
12,0.937,262,0.896,0.929
13,0.932,262,0.896,0.932
14,0.934,262,0.902,0.937
15,0.932,262,0.891,0.945
16,0.934,262,0.891,0.953
17,0.938,262,0.886,0.966
18,0.934,262,0.887,0.976
19,0.932,262,0.891,0.982
20,0.932,262,0.887,0.982
21,0.936,262,0.889,0.982
22,0.933,262,0.894,0.983
23,0.931,262,0.903,0.969
24,0.927,262,0.908,0.965
1,0.467,34,0.296,0.605
2,0.431,34,0.291,0.574
3,0.405,34,0.281,0.554
4,0.396,34,0.275,0.546
5,0.407,34,0.279,0.581
6,0.424,34,0.282,0.614
7,0.497,34,0.29,0.748
8,0.562,34,0.296,0.907
9,0.581,34,0.298,0.952
10,0.588,34,0.302,0.975
11,0.592,34,0.302,0.984
12,0.583,34,0.301,0.976
13,0.572,34,0.3,0.968
14,0.552,34,0.292,0.969
15,0.522,34,0.288,0.925
16,0.491,34,0.284,0.874
17,0.476,34,0.283,0.851
18,0.464,34,0.283,0.829
19,0.444,34,0.284,0.797
20,0.435,34,0.286,0.784
21,0.424,34,0.291,0.771
22,0.413,34,0.298,0.766
23,0.372,34,0.33,0.715
24,0.35,34,0.347,0.69
1,0.074,344,0.057,0.399
2,0.069,344,0.055,0.381
3,0.066,344,0.052,0.357
4,0.058,344,0.056,0.337
5,0.059,344,0.056,0.342
6,0.064,344,0.054,0.39
7,0.08,344,0.054,0.554
8,0.09,344,0.05,0.834
9,0.094,344,0.051,0.958
10,0.094,344,0.055,0.973
11,0.095,344,0.054,0.986
12,0.092,344,0.054,0.964
13,0.087,344,0.054,0.932
14,0.085,344,0.054,0.994
15,0.079,344,0.053,0.965
16,0.075,344,0.052,0.873
17,0.069,344,0.052,0.72
18,0.066,344,0.052,0.627
19,0.064,344,0.052,0.59
20,0.065,344,0.052,0.564
21,0.065,344,0.052,0.548
22,0.065,344,0.054,0.547
23,0.062,344,0.055,0.544
24,0.053,344,0.054,0.502
1,0.588,346,0.309,0.6
2,0.512,346,0.289,0.541
3,0.4,346,0.284,0.462
4,0.373,346,0.271,0.425
5,0.374,346,0.272,0.434
6,0.393,346,0.276,0.479
7,0.483,346,0.284,0.672
8,0.569,346,0.298,0.916
9,0.59,346,0.296,0.978
10,0.587,346,0.293,0.971
11,0.603,346,0.296,0.998
12,0.574,346,0.289,0.944
13,0.556,346,0.288,0.95
14,0.549,346,0.293,0.971
15,0.516,346,0.286,0.948
16,0.463,346,0.278,0.866
17,0.467,346,0.278,0.872
18,0.461,346,0.278,0.854
19,0.413,346,0.282,0.843
20,0.413,346,0.288,0.853
21,0.396,346,0.289,0.782
22,0.405,346,0.315,0.857
23,0.394,346,0.342,0.85
24,0.356,346,0.381,0.787
1,0.082,347,0.036,0.499
2,0.075,347,0.035,0.489
3,0.066,347,0.034,0.472
4,0.063,347,0.032,0.46
5,0.058,347,0.032,0.446
6,0.055,347,0.03,0.458
7,0.06,347,0.033,0.546
8,0.067,347,0.035,0.793
9,0.071,347,0.035,0.931
10,0.074,347,0.035,0.98
11,0.075,347,0.035,0.991
12,0.073,347,0.036,0.955
13,0.069,347,0.037,0.946
14,0.069,347,0.036,0.998
15,0.065,347,0.034,0.974
16,0.057,347,0.032,0.919
17,0.051,347,0.034,0.759
18,0.051,347,0.031,0.717
19,0.049,347,0.036,0.688
20,0.049,347,0.035,0.664
21,0.047,347,0.033,0.655
22,0.047,347,0.034,0.616
23,0.041,347,0.036,0.581
24,0.043,347,0.039,0.561
1,0.104,349,0.08,0.576
2,0.101,349,0.079,0.565
3,0.099,349,0.076,0.554
4,0.097,349,0.077,0.551
5,0.094,349,0.076,0.547
6,0.097,349,0.079,0.601
7,0.103,349,0.079,0.733
8,0.108,349,0.077,0.913
9,0.111,349,0.077,0.965
10,0.111,349,0.077,0.982
11,0.115,349,0.078,1
12,0.112,349,0.079,0.987
13,0.108,349,0.076,0.976
14,0.109,349,0.079,0.999
15,0.104,349,0.077,0.985
16,0.095,349,0.078,0.918
17,0.093,349,0.077,0.851
18,0.091,349,0.074,0.794
19,0.089,349,0.073,0.761
20,0.089,349,0.075,0.739
21,0.087,349,0.076,0.726
22,0.089,349,0.078,0.714
23,0.086,349,0.08,0.685
24,0.085,349,0.082,0.64
1,0.305,35,0.205,0.533
2,0.29,35,0.205,0.521
3,0.277,35,0.203,0.509
4,0.268,35,0.2,0.508
5,0.269,35,0.199,0.529
6,0.289,35,0.201,0.605
7,0.325,35,0.205,0.749
8,0.36,35,0.206,0.913
9,0.371,35,0.207,0.969
10,0.372,35,0.207,0.975
11,0.374,35,0.207,0.988
12,0.361,35,0.207,0.968
13,0.35,35,0.207,0.975
14,0.343,35,0.207,0.982
15,0.326,35,0.206,0.953
16,0.3,35,0.206,0.878
17,0.285,35,0.205,0.814
18,0.272,35,0.205,0.749
19,0.264,35,0.207,0.714
20,0.259,35,0.207,0.69
21,0.254,35,0.209,0.675
22,0.25,35,0.216,0.664
23,0.238,35,0.234,0.637
24,0.218,35,0.259,0.597
1,0.427,351,0.334,0.488
2,0.409,351,0.326,0.481
3,0.398,351,0.328,0.475
4,0.396,351,0.317,0.481
5,0.415,351,0.315,0.516
6,0.466,351,0.316,0.611
7,0.508,351,0.317,0.737
8,0.549,351,0.317,0.908
9,0.573,351,0.316,0.981
10,0.573,351,0.316,0.973
11,0.577,351,0.316,0.993
12,0.564,351,0.316,0.946
13,0.56,351,0.316,0.957
14,0.531,351,0.317,0.958
15,0.512,351,0.317,0.913
16,0.436,351,0.316,0.768
17,0.417,351,0.316,0.736
18,0.409,351,0.315,0.668
19,0.402,351,0.317,0.64
20,0.401,351,0.318,0.624
21,0.4,351,0.322,0.611
22,0.399,351,0.326,0.596
23,0.386,351,0.338,0.569
24,0.363,351,0.363,0.532
1,0.093,356,0.07,0.569
2,0.091,356,0.07,0.562
3,0.089,356,0.069,0.552
4,0.089,356,0.069,0.554
5,0.09,356,0.069,0.562
6,0.096,356,0.069,0.663
7,0.1,356,0.069,0.734
8,0.108,356,0.069,0.907
9,0.113,356,0.069,0.946
10,0.114,356,0.069,0.977
11,0.114,356,0.07,0.987
12,0.113,356,0.069,0.973
13,0.112,356,0.068,0.985
14,0.112,356,0.068,0.995
15,0.111,356,0.068,0.984
16,0.101,356,0.071,0.91
17,0.095,356,0.068,0.858
18,0.094,356,0.068,0.797
19,0.093,356,0.068,0.731
20,0.092,356,0.069,0.705
21,0.094,356,0.071,0.701
22,0.09,356,0.073,0.688
23,0.085,356,0.08,0.662
24,0.072,356,0.095,0.612
1,0.383,36,0.286,0.665
2,0.361,36,0.282,0.639
3,0.355,36,0.283,0.631
4,0.346,36,0.278,0.638
5,0.346,36,0.277,0.652
6,0.35,36,0.275,0.695
7,0.36,36,0.274,0.756
8,0.382,36,0.272,0.895
9,0.39,36,0.274,0.973
10,0.391,36,0.275,0.978
11,0.393,36,0.276,0.987
12,0.385,36,0.277,0.983
13,0.373,36,0.277,0.995
14,0.371,36,0.276,0.996
15,0.362,36,0.274,0.973
16,0.348,36,0.273,0.937
17,0.334,36,0.273,0.903
18,0.327,36,0.273,0.861
19,0.324,36,0.272,0.842
20,0.321,36,0.278,0.818
21,0.316,36,0.286,0.811
22,0.311,36,0.296,0.798
23,0.301,36,0.31,0.765
24,0.291,36,0.33,0.719
1,0.42,37,0.312,0.592
2,0.382,37,0.299,0.561
3,0.363,37,0.298,0.546
4,0.354,37,0.29,0.546
5,0.355,37,0.288,0.562
6,0.364,37,0.286,0.62
7,0.392,37,0.288,0.764
8,0.422,37,0.292,0.93
9,0.431,37,0.291,0.975
10,0.43,37,0.29,0.994
11,0.428,37,0.29,0.985
12,0.418,37,0.292,0.956
13,0.421,37,0.292,0.977
14,0.409,37,0.291,0.96
15,0.402,37,0.289,0.933
16,0.387,37,0.287,0.854
17,0.38,37,0.287,0.813
18,0.377,37,0.287,0.788
19,0.376,37,0.287,0.779
20,0.372,37,0.288,0.765
21,0.368,37,0.292,0.757
22,0.367,37,0.3,0.75
23,0.351,37,0.315,0.715
24,0.338,37,0.328,0.691
1,0.665,371,0.495,0.69
2,0.625,371,0.473,0.663
3,0.598,371,0.479,0.649
4,0.572,371,0.456,0.636
5,0.57,371,0.453,0.653
6,0.592,371,0.451,0.71
7,0.658,371,0.459,0.863
8,0.704,371,0.47,0.98
9,0.708,371,0.47,0.999
10,0.706,371,0.471,0.993
11,0.708,371,0.47,0.997
12,0.687,371,0.464,0.954
13,0.7,371,0.466,0.987
14,0.679,371,0.46,0.963
15,0.664,371,0.458,0.93
16,0.639,371,0.457,0.883
17,0.637,371,0.457,0.879
18,0.632,371,0.456,0.867
19,0.627,371,0.456,0.861
20,0.622,371,0.463,0.846
21,0.62,371,0.466,0.846
22,0.61,371,0.489,0.83
23,0.582,371,0.513,0.812
24,0.539,371,0.543,0.773
1,0.262,38,0.188,0.592
2,0.249,38,0.191,0.584
3,0.247,38,0.198,0.576
4,0.247,38,0.185,0.585
5,0.249,38,0.185,0.594
6,0.257,38,0.191,0.687
7,0.284,38,0.182,0.809
8,0.324,38,0.181,0.923
9,0.343,38,0.181,0.971
10,0.345,38,0.181,0.981
11,0.348,38,0.183,0.979
12,0.351,38,0.184,0.996
13,0.331,38,0.185,0.965
14,0.339,38,0.184,0.966
15,0.324,38,0.185,0.917
16,0.299,38,0.189,0.864
17,0.292,38,0.187,0.81
18,0.283,38,0.186,0.762
19,0.276,38,0.187,0.733
20,0.272,38,0.187,0.722
21,0.262,38,0.193,0.696
22,0.26,38,0.205,0.694
23,0.245,38,0.264,0.671
24,0.226,38,0.3,0.639
