SIC,Unit_Process,Heat_type,Temp_C
,Drying,steam,193
,Pressing,steam,191
,Drying,fuel,177
,Boiler,fuel,216
,Boiler,steam,216
26111,Digesting,steam,171
,Evaporating,steam,110
,Calcining,fuel,649
,Bleaching,steam,29
,Drying,steam,66
,Boiler,fuel,149
,Boiler,steam,149
26112,Digesting,steam,171
,Bleaching,steam,29
,Drying,steam,116
,Evaporating,steam,66
,Burner,fuel,260
,Boiler,fuel,149
,Boiler,steam,149
26113,Drying,steam,38
,Boiler,fuel,127
,Boiler,steam,127
26211,Pulping,steam,60
,Drying,steam,66
,Boiler,fuel,121
,Boiler,steam,121
26212,Digesting,steam,171
,Evaporating,steam,110
,Calcining,fuel,649
,Bleaching,steam,29
,Drying,steam,66
,Boiler,fuel,149
,Boiler,steam,149
26311,Pulping,steam,60
,Drying,steam,66
,Boiler,fuel,149
,Boiler,steam,149
26312,Digesting,steam,171
,Evaporating,steam,110
,Calcining,fuel,649
,Drying,steam,66
,Boiler,fuel,149
,Boiler,steam,149
28121,Heating,steam,71
,Heating,steam,71
,Cooling,steam,35
,Evaporating,steam,121
,Evaporating,steam,104
,Boiler,fuel,177
,Boiler,steam,177
28122,Heating,steam,52
,Evaporating,steam,121
,Boiler,fuel,121
,Boiler,steam,121
28123,Calcining,fuel,982
,Other,steam,121
,Calcining,fuel,343
,Boiler,fuel,121
,Boiler,steam,121
28124,Crystallizing,steam,110
,Calcining,fuel,343
,Boiler,fuel,121
,Boiler,steam,121
28132,Reforming,fuel,843
,Cooling,steam,427
,Boiler,fuel,158
,Boiler,steam,158
281331,Preheating,fuel,649
,Preheating,fuel,649
,Cracking,fuel,1538
,Stripping,steam,54
,Stripping,steam,116
,Boiler,fuel,121
,Boiler,steam,121
28191,Digesting,steam,146
,Evaporating,steam,52
,Calcining,fuel,1204
,Boiler,fuel,149
,Boiler,steam,149
,Boiler,space heat,121
28192,Burning,electric,1093
,Converting,electric,427
,Converting,electric,538
,Cooling,electric,38
,Drying,electric,38
28193,Calcining,fuel,816
,Calcining,electric,816
,Heating,electric,538
28194,Leaching,steam,82
,Leaching,fuel,82
,Drying,fuel,93
,Drying,fuel,93
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,space heat,121
28211,Heating,steam,121
,Distilling,steam,35
,Drying,steam,149
,Melting,steam,177
,Drying,steam,121
,Boiler,fuel,149
,Boiler,steam,121
,Boiler,steam,146
,Boiler,steam,188
28212,Condensing,steam,32
,Blending,steam,82
,Melting,steam,260
,Drying,steam,49
,Heating,fuel,232
,Boiler,fuel,274
,Boiler,steam,121
,Boiler,steam,274
,Boiler,steam,188
28213,Reacting,steam,274
,Separating,steam,260
,Extruding,steam,204
,Drying,steam,49
,Extruding,steam,138
,Drying,steam,49
,Boiler,fuel,254
,Boiler,steam,216
,Boiler,steam,254
,Boiler,steam,188
,Boiler,steam,146
28214,Reacting,steam,85
,Stripping,steam,100
,Distilling,steam,80
,Drying,electric,129
,Extruding,steam,260
,Drying,steam,49
,Boiler,fuel,188
,Boiler,steam,188
,Boiler,steam,146
28215,Separating,steam,204
,Separating,steam,204
,Extruding,steam,260
,Drying,steam,49
,Boiler,fuel,216
,Boiler,steam,188
,Boiler,steam,216
,Boiler,steam,143
28221,Other,fuel,121
,Stripping,steam,66
,Separating,steam,49
,Reacting,steam,50
,Stripping,steam,66
,Concentrating,steam,60
,Drying,steam,66
,Boiler,fuel,121
,Boiler,steam,121
28222,Flashing,water,66
,Drying,fuel,82
,Distilling,steam,79
,Distilling,steam,66
,Drying,fuel,82
,Extruding,steam,82
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,water,82
28223,Heating,steam,32
,Heating,steam,82
,Drying,fuel,82
,Boiler,fuel,121
,Boiler,steam,121
28231,Evaporating,steam,93
,Melting,steam,71
,Evaporating,steam,93
,Drying,fuel,49
,Washing,water,66
,Boiler,fuel,121
,Boiler,steam,121
,Boiler,water,93
28241,Heating,steam,121
,Drying,fuel,49
,Heating,fuel,241
,Melting,fuel,160
,Polymerizing,fuel,232
,Melting,fuel,232
,Drying,fuel,66
,Boiler,fuel,132
,Boiler,steam,132
28242,Drying,fuel,82
,Melting,steam,24
,Heating,fuel,282
,Boiler,fuel,127
,Boiler,steam,127
28243,Heating,fuel,49
,Heating,water,82
,Drying,fuel,93
,Boiler,fuel,82
,Boiler,water,82
28244,Heating,steam,232
,Evaporating,steam,232
,Heating,steam,288
,Boiler,fuel,316
,Boiler,steam,316
,Boiler,space heat,121
28245,Melting,steam,82
,Heating,steam,260
,Concentrating,steam,82
,Distilling,steam,82
,Drying,fuel,163
,Melting,steam,218
,Boiler,fuel,288
,Boiler,steam,121
,Boiler,steam,288
,Boiler,space heat,121
28341,Drying,fuel,121
,Heating,steam,121
,Sterilizing,steam,110
,Sterilizing,steam,110
,Sterilizing,steam,110
,Boiler,fuel,121
,Boiler,steam,121
28651,Distilling,steam,148
,Drying,steam,38
,Distilling,steam,191
,Heating,steam,160
,Heating,steam,635
,Heating,fuel,649
,Heating,steam,399
,Heating,steam,93
,Heating,steam,138
,Distilling,steam,93
,Boiler,fuel,-18
,Boiler,steam,110
,Boiler,steam,149
,Boiler,steam,160
,Boiler,steam,177
,Boiler,steam,204
28691,Heating,fuel,871
,Heating,steam,60
,Separating,steam,135
,Boiler,fuel,-18
,Boiler,steam,149
,Heating,steam,177
28692,Heating,steam,121
,Reforming,fuel,788
,Distilling,steam,82
,Distilling,steam,93
2873,Reforming,fuel,816
,Reforming,steam,816
,Heating,fuel,218
28744,Drying,fuel,91
28743,Drying,fuel,82
,Drying,fuel,82
28742,Sintering,fuel,1260
30691,Molding,fuel,121
,Other,fuel,149
,Casting,fuel,149
,Heating,steam,177
,Heating,steam,191
,Boiler,fuel,243
,Boiler,steam,243
32111,Melting,fuel,1593
,Refining,fuel,816
,Annealing,fuel,593
,Heating,fuel,871
,Heating,fuel,593
,Heating,fuel,149
32211,Melting,fuel,1538
,Refining,fuel,1260
,Heating,fuel,949
,Annealing,fuel,649
32291,Melting,fuel,1593
,Refining,fuel,816
,Heating,fuel,816
,Annealing,fuel,593
,Drying,fuel,138
32411,Calcining,fuel,1482
,Drying,fuel,163
,Calcining,fuel,1482
32511,Drying,fuel,316
,Heating,fuel,1149
32741,Calcining,fuel,1454
32751,Calcining,fuel,171
,Drying,fuel,227
32961,Melting,fuel,1593
,Heating,steam,93
,Curing,fuel,260
,Boiler,fuel,160
,Boiler,steam,160
33121,Coking,fuel,1427
,Coking,steam,177
,Sintering,fuel,1371
,Pelletizing,fuel,1316
,Melting,fuel,1427
,Melting,fuel,871
,Heating,fuel,1316
,Annealing,fuel,760
,Annealing,steam,160
,Heating,fuel,1316
,Heating,fuel,1316
,Boiler,fuel,427
33131,Drying,fuel,204
,Heating,fuel,816
33211,Melting,fuel,1593
,Baking,fuel,216
,Drying,fuel,288
,Heating,fuel,538
,Other,fuel,149
33311,Melting,fuel,1204
,Baking,fuel,1204
,Refining,steam,60
,Melting,fuel,1204
33341,Baking,fuel,1204
33411,Drying,fuel,538
,Melting,fuel,538
,Smelting,fuel,793
,Heating,fuel,260
33412,Melting,fuel,316
,Melting,fuel,704
,Melting,fuel,816
,Melting,fuel,1149
,Heating,fuel,204
33413,Melting,fuel,538
,Melting,fuel,538
,Melting,fuel,1260
,Heating,fuel,149
33414,Melting,fuel,538
,Drying,fuel,538
,Burning,fuel,538
,Melting,fuel,1093
,Melting,fuel,1316
,Refining,fuel,1121
,Melting,fuel,1121
33531,Melting,fuel,1293
,Heating,fuel,538
,Annealing,fuel,427
34621,Heating,fuel,1316
,Forging,fuel,1316
,Heating,fuel,871
35231,Heating,fuel,732
,Cleaning,steam,24
,Drying,steam,74
,Boiler,fuel,160
,Boiler,space heat,160
,Boiler,steam,160
35311,Heating,fuel,149
,Heating,fuel,732
,Cleaning,steam,24
,Drying,steam,74
,Boiler,fuel,160
,Boiler,steam,160
,Boiler,space heat,121
37111,Cleaning,steam,38
,Drying,fuel,82
,Drying,fuel,149
,Washing,water,32
,Washing,water,24
,Boiler,steam,177
,Boiler,water,49
,Boiler,fuel,177
37141,Melting,fuel,1593
,Heating,fuel,538
,Drying,fuel,82
